exp_id,episode,global_timestep,episode_steps,cost,duration
Medicine_pareto_test_20260511T201320,231,3517,26,450.0,340.0
Medicine_pareto_test_20260511T201320,232,3525,8,105.0,155.0
Medicine_pareto_test_20260511T201320,233,3535,10,135.0,215.0
Medicine_pareto_test_20260511T201320,234,3543,8,105.0,155.0
Medicine_pareto_test_20260511T201320,235,3548,5,95.0,80.0
Medicine_pareto_test_20260511T201320,236,3554,6,130.0,160.0
Medicine_pareto_test_20260511T201320,237,3561,7,105.0,100.0
Medicine_pareto_test_20260511T201320,238,3587,26,390.0,540.0
Medicine_pareto_test_20260511T201320,239,3598,11,210.0,255.0
Medicine_pareto_test_20260511T201320,240,3610,12,185.0,195.0
Medicine_pareto_test_20260511T201320,241,3622,12,180.0,190.0
Medicine_pareto_test_20260511T201320,242,3629,7,135.0,170.0
Medicine_pareto_test_20260511T201320,243,3665,36,530.0,850.0
Medicine_pareto_test_20260511T201320,244,3668,3,60.0,65.0
Medicine_pareto_test_20260511T201320,245,3677,9,185.0,220.0
Medicine_pareto_test_20260511T201320,246,3683,6,125.0,85.0
Medicine_pareto_test_20260511T201320,247,3712,29,385.0,530.0
Medicine_pareto_test_20260511T201320,248,3722,10,180.0,200.0
Medicine_pareto_test_20260511T201320,249,3728,6,110.0,170.0
Medicine_pareto_test_20260511T201320,250,3744,16,250.0,200.0
Medicine_pareto_test_20260511T201320,251,3766,22,355.0,485.0
Medicine_pareto_test_20260511T201320,252,3778,12,180.0,260.0
Medicine_pareto_test_20260511T201320,253,3786,8,115.0,115.0
Medicine_pareto_test_20260511T201320,254,3805,19,325.0,370.0
Medicine_pareto_test_20260511T201320,255,3833,28,425.0,435.0
Medicine_pareto_test_20260511T201320,256,3843,10,165.0,215.0
Medicine_pareto_test_20260511T201320,257,3869,26,410.0,510.0
Medicine_pareto_test_20260511T201320,258,3874,5,80.0,95.0
Medicine_pareto_test_20260511T201320,259,3883,9,165.0,160.0
Medicine_pareto_test_20260511T201320,260,3887,4,90.0,70.0
Medicine_pareto_test_20260511T201320,261,3897,10,150.0,200.0
Medicine_pareto_test_20260511T201320,262,3918,21,270.0,275.0
Medicine_pareto_test_20260511T201320,263,3929,11,230.0,195.0
Medicine_pareto_test_20260511T201320,264,3940,11,205.0,250.0
Medicine_pareto_test_20260511T201320,265,3948,8,125.0,195.0
Medicine_pareto_test_20260511T201320,266,3956,8,165.0,105.0
Medicine_pareto_test_20260511T201320,267,3968,12,160.0,200.0
Medicine_pareto_test_20260511T201320,268,3974,6,125.0,85.0
Medicine_pareto_test_20260511T201320,269,3979,5,110.0,115.0
Medicine_pareto_test_20260511T201320,270,3989,10,220.0,160.0
Medicine_pareto_test_20260511T201320,271,3995,6,90.0,130.0
Medicine_pareto_test_20260511T201320,272,4002,7,120.0,115.0
Medicine_pareto_test_20260511T201320,273,4037,35,505.0,610.0
Medicine_pareto_test_20260511T201320,274,4045,8,165.0,175.0
Medicine_pareto_test_20260511T201320,275,4057,12,195.0,155.0
Medicine_pareto_test_20260511T201320,276,4064,7,150.0,135.0
Medicine_pareto_test_20260511T201320,277,4071,7,130.0,95.0
Medicine_pareto_test_20260511T201320,278,4083,12,310.0,190.0
Medicine_pareto_test_20260511T201320,279,4091,8,170.0,250.0
Medicine_pareto_test_20260511T201320,280,4097,6,120.0,130.0
Medicine_pareto_test_20260511T201320,281,4103,6,100.0,90.0
Medicine_pareto_test_20260511T201320,282,4111,8,145.0,185.0
Medicine_pareto_test_20260511T201320,283,4114,3,60.0,65.0
Medicine_pareto_test_20260511T201320,284,4122,8,165.0,105.0
Medicine_pareto_test_20260511T201320,285,4127,5,100.0,85.0
Medicine_pareto_test_20260511T201320,286,4140,13,240.0,265.0
Medicine_pareto_test_20260511T201320,287,4160,20,305.0,385.0
Medicine_pareto_test_20260511T201320,288,4163,3,60.0,65.0
Medicine_pareto_test_20260511T201320,289,4166,3,60.0,65.0
Medicine_pareto_test_20260511T201320,290,4171,5,100.0,85.0
Medicine_pareto_test_20260511T201320,291,4178,7,180.0,85.0
Medicine_pareto_test_20260511T201320,292,4200,22,430.0,350.0
Medicine_pareto_test_20260511T201320,293,4212,12,235.0,255.0
Medicine_pareto_test_20260511T201320,294,4221,9,185.0,220.0
Medicine_pareto_test_20260511T201320,295,4255,34,535.0,765.0
Medicine_pareto_test_20260511T201320,296,4259,4,65.0,75.0
Medicine_pareto_test_20260511T201320,297,4265,6,115.0,125.0
Medicine_pareto_test_20260511T201320,298,4276,11,220.0,165.0
Medicine_pareto_test_20260511T201320,299,4280,4,80.0,110.0
Medicine_pareto_test_20260511T201320,300,4288,8,135.0,155.0
Medicine_pareto_test_20260511T201320,301,4291,3,60.0,65.0
Medicine_pareto_test_20260511T201320,302,4300,9,165.0,230.0
Medicine_pareto_test_20260511T201320,303,4331,31,470.0,585.0
Medicine_pareto_test_20260511T201320,304,4334,3,60.0,65.0
Medicine_pareto_test_20260511T201320,305,4340,6,105.0,95.0
